method,dataset,split,category,arm,eval_mode,metric,auroc,aupr,fpr95,n_eval,drift_delay,seed,timestamp
diversify,TSB-U-DRIFT_020_SEG_18193_088_WSD_id_60_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.9066,0.9114,0.4118,34,,42,2026-08-24T22:30:22
diversify,TSB-U-DRIFT_023_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.5,0.6187,0.8333,12,,42,2026-08-24T22:30:23
diversify,TSB-U-DRIFT_023_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.8056,0.7861,0.5,12,,42,2026-08-24T22:30:23
diversify,TSB-U-DRIFT_024_SEG_130400_241_SVDB_id_5_Medical_tr_11,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.7094,0.6449,0.6909,110,,42,2026-08-24T22:30:29
diversify,TSB-U-DRIFT_024_SEG_130400_241_SVDB_id_5_Medical_tr_11,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.2615,0.4107,1.0,110,,42,2026-08-24T22:30:29
diversify,TSB-U-DRIFT_031_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4132,0.4613,0.9091,22,,42,2026-08-24T22:30:35
diversify,TSB-U-DRIFT_031_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.6446,0.6332,0.9091,22,,42,2026-08-24T22:30:35
diversify,TSB-U-DRIFT_032_SEG_15000_073_WSD_id_45_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.0617,0.345,1.0,18,,42,2026-08-24T22:30:37
diversify,TSB-U-DRIFT_032_SEG_15000_073_WSD_id_45_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.1605,0.3676,0.8889,18,,42,2026-08-24T22:30:37
diversify,TSB-U-DRIFT_033_SEG_13237_094_WSD_id_66_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.284,0.4118,1.0,18,,42,2026-08-24T22:30:40
diversify,TSB-U-DRIFT_033_SEG_13237_094_WSD_id_66_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.4691,0.4774,0.7778,18,,42,2026-08-24T22:30:40
diversify,TSB-U-DRIFT_035_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.5139,0.5817,1.0,24,,42,2026-08-24T22:30:42
diversify,TSB-U-DRIFT_035_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.5972,0.5997,1.0,24,,42,2026-08-24T22:30:42
diversify,TSB-U-DRIFT_036_SEG_17189_049_WSD_id_21_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.3333,0.4901,1.0,12,,42,2026-08-24T22:30:46
diversify,TSB-U-DRIFT_036_SEG_17189_049_WSD_id_21_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.1667,0.3855,1.0,12,,42,2026-08-24T22:30:46
diversify,TSB-U-DRIFT_037_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.8099,0.8598,0.7273,44,,42,2026-08-24T22:30:48
diversify,TSB-U-DRIFT_037_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.2603,0.3763,0.9091,44,,42,2026-08-24T22:30:48
diversify,TSB-U-DRIFT_041_SEG_15736_111_WSD_id_83_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.6667,0.8333,1.0,6,,42,2026-08-24T22:30:52
diversify,TSB-U-DRIFT_041_SEG_15736_111_WSD_id_83_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.7778,0.8056,0.3333,6,,42,2026-08-24T22:30:52
diversify,TSB-U-DRIFT_042_SEG_18236_029_WSD_id_1_WebService_tr_4,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.2469,0.3923,0.8889,18,,42,2026-08-24T22:30:58
diversify,TSB-U-DRIFT_042_SEG_18236_029_WSD_id_1_WebService_tr_4,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.3457,0.4521,1.0,18,,42,2026-08-24T22:30:58
diversify,TSB-U-DRIFT_045_SEG_18236_062_WSD_id_34_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.8062,0.8378,0.6471,34,,42,2026-08-24T22:31:01
diversify,TSB-U-DRIFT_045_SEG_18236_062_WSD_id_34_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.8235,0.8511,0.8235,34,,42,2026-08-24T22:31:01
diversify,TSB-U-DRIFT_048_SEG_65000_314_UCR_id_12_HumanActivity_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.1531,0.3981,1.0,46,,42,2026-08-24T22:31:19
diversify,TSB-U-DRIFT_048_SEG_65000_314_UCR_id_12_HumanActivity_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.8998,0.9347,0.7391,46,,42,2026-08-24T22:31:19
diversify,TSB-U-DRIFT_049_SEG_18236_122_WSD_id_94_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.3742,0.4408,1.0,82,,42,2026-08-24T22:31:22
diversify,TSB-U-DRIFT_049_SEG_18236_122_WSD_id_94_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.5116,0.5632,0.9756,82,,42,2026-08-24T22:31:22
diversify,TSB-U-DRIFT_050_SEG_650000_177_MITDB_id_8_Medical_tr_1,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4721,0.5252,0.9405,168,,42,2026-08-24T22:31:29
diversify,TSB-U-DRIFT_050_SEG_650000_177_MITDB_id_8_Medical_tr_1,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.601,0.5769,0.869,168,,42,2026-08-24T22:31:29
diversify,TSB-U-DRIFT_054_SEG_18084_030_WSD_id_2_WebService_tr_4,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4267,0.5163,1.0,30,,42,2026-08-24T22:31:31
diversify,TSB-U-DRIFT_054_SEG_18084_030_WSD_id_2_WebService_tr_4,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.6756,0.6434,0.9333,30,,42,2026-08-24T22:31:31
diversify,TSB-U-DRIFT_055_SEG_18236_099_WSD_id_71_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.375,0.4762,0.75,8,,42,2026-08-24T22:31:37
diversify,TSB-U-DRIFT_055_SEG_18236_099_WSD_id_71_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.875,0.8875,0.25,8,,42,2026-08-24T22:31:37
diversify,TSB-U-DRIFT_056_SEG_17438_120_WSD_id_92_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4931,0.5667,1.0,24,,42,2026-08-24T22:31:38
diversify,TSB-U-DRIFT_056_SEG_17438_120_WSD_id_92_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.4236,0.4639,1.0,24,,42,2026-08-24T22:31:38
diversify,TSB-U-DRIFT_059_SEG_18236_052_WSD_id_24_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4444,0.6035,1.0,12,,42,2026-08-24T22:31:41
diversify,TSB-U-DRIFT_059_SEG_18236_052_WSD_id_24_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.4722,0.5101,1.0,12,,42,2026-08-24T22:31:41
diversify,TSB-U-DRIFT_061_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4311,0.4599,0.8,30,,42,2026-08-24T22:31:48
diversify,TSB-U-DRIFT_061_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.6933,0.7169,0.8667,30,,42,2026-08-24T22:31:48
diversify,TSB-U-DRIFT_063_SEG_23703_179_SMD_id_2_Facility_tr_592,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.3281,0.4248,1.0,16,,42,2026-08-24T22:31:55
diversify,TSB-U-DRIFT_063_SEG_23703_179_SMD_id_2_Facility_tr_592,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.9688,0.975,0.25,16,,42,2026-08-24T22:31:55
diversify,TSB-U-DRIFT_064_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.1716,0.3599,1.0,26,,42,2026-08-24T22:32:01
diversify,TSB-U-DRIFT_064_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.497,0.5082,1.0,26,,42,2026-08-24T22:32:01
diversify,TSB-U-DRIFT_065_SEG_28479_184_SMD_id_7_Facility_tr_711,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.6463,0.6236,0.9818,110,,42,2026-08-24T22:32:08
diversify,TSB-U-DRIFT_065_SEG_28479_184_SMD_id_7_Facility_tr_711,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.679,0.7123,0.8364,110,,42,2026-08-24T22:32:08
diversify,TSB-U-DRIFT_066_SEG_650000_173_MITDB_id_4_Medical_tr_1,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.6329,0.6993,0.9538,130,,42,2026-08-24T22:32:15
diversify,TSB-U-DRIFT_066_SEG_650000_173_MITDB_id_4_Medical_tr_1,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.5664,0.5227,0.9231,130,,42,2026-08-24T22:32:15
diversify,TSB-U-DRIFT_068_SEG_18380_112_WSD_id_84_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.5764,0.5444,0.75,24,,42,2026-08-24T22:32:17
diversify,TSB-U-DRIFT_068_SEG_18380_112_WSD_id_84_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.6667,0.7473,1.0,24,,42,2026-08-24T22:32:17
diversify,TSB-U-DRIFT_069_SEG_17186_041_WSD_id_13_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.843,0.7619,0.5455,22,,42,2026-08-24T22:32:20
diversify,TSB-U-DRIFT_069_SEG_17186_041_WSD_id_13_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.5124,0.5583,0.9091,22,,42,2026-08-24T22:32:20
diversify,TSB-U-DRIFT_070_SEG_18236_079_WSD_id_51_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.47,0.5387,0.9,20,,42,2026-08-24T22:32:25
