method,dataset,split,category,arm,eval_mode,metric,auroc,aupr,fpr95,n_eval,drift_delay,seed,timestamp
tdivdm,TSB-U-DRIFT_020_SEG_18193_088_WSD_id_60_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6629,0.6057,0.9615,86,,42,2026-08-24T09:56:43
driftlens,TSB-U-DRIFT_023_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.5,,,4,,42,2026-08-24T09:56:47
ae_adwin_lstm,TSB-U-DRIFT_023_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4881,0.608,0.9286,26,5.0,42,2026-08-24T09:56:48
tdivdm,TSB-U-DRIFT_023_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5952,0.674,0.8571,26,,42,2026-08-24T09:56:48
driftlens,TSB-U-DRIFT_024_SEG_130400_241_SVDB_id_5_Medical_tr_11,U,DRIFT,none,batch_level,batch_auroc,0.9333,,,13,,42,2026-08-24T09:58:12
ae_adwin_lstm,TSB-U-DRIFT_024_SEG_130400_241_SVDB_id_5_Medical_tr_11,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.332,0.6618,1.0,444,2.0,42,2026-08-24T09:58:13
tdivdm,TSB-U-DRIFT_024_SEG_130400_241_SVDB_id_5_Medical_tr_11,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5712,0.7664,0.8182,444,,42,2026-08-24T09:58:19
driftlens,TSB-U-DRIFT_031_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.6667,,,4,,42,2026-08-24T10:00:08
ae_adwin_lstm,TSB-U-DRIFT_031_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.2748,0.1445,1.0,152,4.0,42,2026-08-24T10:00:09
tdivdm,TSB-U-DRIFT_031_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.342,0.108,0.9615,152,,42,2026-08-24T10:00:16
driftlens,TSB-U-DRIFT_032_SEG_15000_073_WSD_id_45_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.6667,,,4,,42,2026-08-24T10:00:44
ae_adwin_lstm,TSB-U-DRIFT_032_SEG_15000_073_WSD_id_45_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4478,0.3422,0.9697,51,5.0,42,2026-08-24T10:00:45
tdivdm,TSB-U-DRIFT_032_SEG_15000_073_WSD_id_45_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5623,0.4001,0.7576,51,,42,2026-08-24T10:00:46
driftlens,TSB-U-DRIFT_033_SEG_13237_094_WSD_id_66_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T10:01:20
ae_adwin_lstm,TSB-U-DRIFT_033_SEG_13237_094_WSD_id_66_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4234,0.3345,0.9459,55,5.0,42,2026-08-24T10:01:20
tdivdm,TSB-U-DRIFT_033_SEG_13237_094_WSD_id_66_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6757,0.5958,0.8919,55,,42,2026-08-24T10:01:22
driftlens,TSB-U-DRIFT_035_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.5,,,4,,42,2026-08-24T10:01:39
ae_adwin_lstm,TSB-U-DRIFT_035_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4633,0.5299,0.7917,49,1.0,42,2026-08-24T10:01:39
tdivdm,TSB-U-DRIFT_035_SEG_18391_054_WSD_id_26_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.655,0.6465,0.7083,49,,42,2026-08-24T10:01:41
driftlens,TSB-U-DRIFT_036_SEG_17189_049_WSD_id_21_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.0,,,4,,42,2026-08-24T10:02:28
ae_adwin_lstm,TSB-U-DRIFT_036_SEG_17189_049_WSD_id_21_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6616,0.4235,0.8182,78,1.0,42,2026-08-24T10:02:28
tdivdm,TSB-U-DRIFT_036_SEG_17189_049_WSD_id_21_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5354,0.228,0.9545,78,,42,2026-08-24T10:02:36
driftlens,TSB-U-DRIFT_037_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T10:03:24
ae_adwin_lstm,TSB-U-DRIFT_037_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4822,0.7117,0.8864,150,0.0,42,2026-08-24T10:03:24
tdivdm,TSB-U-DRIFT_037_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.8345,0.9193,0.5909,150,,42,2026-08-24T10:03:27
driftlens,TSB-U-DRIFT_041_SEG_15736_111_WSD_id_83_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,,,,2,,42,2026-08-24T10:04:25
ae_adwin_lstm,TSB-U-DRIFT_041_SEG_15736_111_WSD_id_83_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7239,0.4833,0.6901,76,0.0,42,2026-08-24T10:04:25
tdivdm,TSB-U-DRIFT_041_SEG_15736_111_WSD_id_83_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6563,0.3648,0.7746,76,,42,2026-08-24T10:04:29
driftlens,TSB-U-DRIFT_042_SEG_18236_029_WSD_id_1_WebService_tr_4,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T10:05:39
ae_adwin_lstm,TSB-U-DRIFT_042_SEG_18236_029_WSD_id_1_WebService_tr_4,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.2721,0.1058,0.9792,113,5.0,42,2026-08-24T10:05:39
tdivdm,TSB-U-DRIFT_042_SEG_18236_029_WSD_id_1_WebService_tr_4,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.3701,0.1255,0.9479,113,,42,2026-08-24T10:05:44
driftlens,TSB-U-DRIFT_045_SEG_18236_062_WSD_id_34_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.6,,,6,,42,2026-08-24T10:06:11
ae_adwin_lstm,TSB-U-DRIFT_045_SEG_18236_062_WSD_id_34_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4317,0.8268,0.9697,212,2.0,42,2026-08-24T10:06:12
tdivdm,TSB-U-DRIFT_045_SEG_18236_062_WSD_id_34_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6486,0.9154,0.9394,212,,42,2026-08-24T10:06:14
driftlens,TSB-U-DRIFT_048_SEG_65000_314_UCR_id_12_HumanActivity_,U,DRIFT,none,batch_level,batch_auroc,0.7273,,,12,,42,2026-08-24T10:10:43
ae_adwin_lstm,TSB-U-DRIFT_048_SEG_65000_314_UCR_id_12_HumanActivity_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7682,0.3315,0.6898,407,5.0,42,2026-08-24T10:10:44
tdivdm,TSB-U-DRIFT_048_SEG_65000_314_UCR_id_12_HumanActivity_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.8103,0.5235,0.662,407,,42,2026-08-24T10:10:59
driftlens,TSB-U-DRIFT_049_SEG_18236_122_WSD_id_94_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.5833,,,7,,42,2026-08-24T10:11:49
ae_adwin_lstm,TSB-U-DRIFT_049_SEG_18236_122_WSD_id_94_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5687,0.7415,0.963,236,0.0,42,2026-08-24T10:11:49
tdivdm,TSB-U-DRIFT_049_SEG_18236_122_WSD_id_94_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7259,0.8579,0.9136,236,,42,2026-08-24T10:11:52
driftlens,TSB-U-DRIFT_050_SEG_650000_177_MITDB_id_8_Medical_tr_1,U,DRIFT,none,batch_level,batch_auroc,0.48,,,35,,42,2026-08-24T10:13:57
ae_adwin_lstm,TSB-U-DRIFT_050_SEG_650000_177_MITDB_id_8_Medical_tr_1,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4853,0.8448,0.9701,1137,0.0,42,2026-08-24T10:13:59
tdivdm,TSB-U-DRIFT_050_SEG_650000_177_MITDB_id_8_Medical_tr_1,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4705,0.8474,0.9521,1137,,42,2026-08-24T10:14:14
driftlens,TSB-U-DRIFT_054_SEG_18084_030_WSD_id_2_WebService_tr_4,U,DRIFT,none,batch_level,batch_auroc,0.0,,,2,,42,2026-08-24T10:14:45
ae_adwin_lstm,TSB-U-DRIFT_054_SEG_18084_030_WSD_id_2_WebService_tr_4,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5998,0.6418,0.9302,72,5.0,42,2026-08-24T10:14:45
tdivdm,TSB-U-DRIFT_054_SEG_18084_030_WSD_id_2_WebService_tr_4,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7346,0.7449,0.8605,72,,42,2026-08-24T10:14:47
driftlens,TSB-U-DRIFT_055_SEG_18236_099_WSD_id_71_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.75,,,13,,42,2026-08-24T10:16:05
ae_adwin_lstm,TSB-U-DRIFT_055_SEG_18236_099_WSD_id_71_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.65,0.3158,0.7037,143,5.0,42,2026-08-24T10:16:06
tdivdm,TSB-U-DRIFT_055_SEG_18236_099_WSD_id_71_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7176,0.3224,0.5185,143,,42,2026-08-24T10:16:13
driftlens,TSB-U-DRIFT_056_SEG_17438_120_WSD_id_92_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,2,,42,2026-08-24T10:16:34
ae_adwin_lstm,TSB-U-DRIFT_056_SEG_17438_120_WSD_id_92_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.2448,0.523,0.9565,69,16.0,42,2026-08-24T10:16:34
tdivdm,TSB-U-DRIFT_056_SEG_17438_120_WSD_id_92_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7363,0.8515,0.7826,69,,42,2026-08-24T10:16:35
driftlens,TSB-U-DRIFT_059_SEG_18236_052_WSD_id_24_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,6,,42,2026-08-24T10:18:29
ae_adwin_lstm,TSB-U-DRIFT_059_SEG_18236_052_WSD_id_24_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5722,0.1962,1.0,96,5.0,42,2026-08-24T10:18:30
tdivdm,TSB-U-DRIFT_059_SEG_18236_052_WSD_id_24_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6021,0.3178,1.0,96,,42,2026-08-24T10:18:35
driftlens,TSB-U-DRIFT_061_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T10:20:21
ae_adwin_lstm,TSB-U-DRIFT_061_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.3072,0.173,1.0,159,4.0,42,2026-08-24T10:20:21
tdivdm,TSB-U-DRIFT_061_SEG_15736_116_WSD_id_88_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4814,0.2088,0.9846,159,,42,2026-08-24T10:20:36
driftlens,TSB-U-DRIFT_063_SEG_23703_179_SMD_id_2_Facility_tr_592,U,DRIFT,none,batch_level,batch_auroc,1.0,,,6,,42,2026-08-24T10:24:33
ae_adwin_lstm,TSB-U-DRIFT_063_SEG_23703_179_SMD_id_2_Facility_tr_592,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.2444,0.0553,1.0,180,8.0,42,2026-08-24T10:24:34
tdivdm,TSB-U-DRIFT_063_SEG_23703_179_SMD_id_2_Facility_tr_592,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4909,0.0831,0.9576,180,,42,2026-08-24T10:24:41
driftlens,TSB-U-DRIFT_064_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T10:25:30
ae_adwin_lstm,TSB-U-DRIFT_064_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5146,0.2871,0.7727,92,,42,2026-08-24T10:25:31
tdivdm,TSB-U-DRIFT_064_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7424,0.4945,0.6515,92,,42,2026-08-24T10:25:34
driftlens,TSB-U-DRIFT_065_SEG_28479_184_SMD_id_7_Facility_tr_711,U,DRIFT,none,batch_level,batch_auroc,0.4,,,8,,42,2026-08-24T10:26:50
ae_adwin_lstm,TSB-U-DRIFT_065_SEG_28479_184_SMD_id_7_Facility_tr_711,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5117,0.4463,0.9329,258,1.0,42,2026-08-24T10:26:51
tdivdm,TSB-U-DRIFT_065_SEG_28479_184_SMD_id_7_Facility_tr_711,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6115,0.5615,0.9128,258,,42,2026-08-24T10:27:05
driftlens,TSB-U-DRIFT_066_SEG_650000_173_MITDB_id_4_Medical_tr_1,U,DRIFT,none,batch_level,batch_auroc,0.6948,,,81,,42,2026-08-24T10:28:48
ae_adwin_lstm,TSB-U-DRIFT_066_SEG_650000_173_MITDB_id_4_Medical_tr_1,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4808,0.9539,0.9612,2614,4.0,42,2026-08-24T10:28:54
tdivdm,TSB-U-DRIFT_066_SEG_650000_173_MITDB_id_4_Medical_tr_1,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6051,0.961,0.7984,2614,,42,2026-08-24T10:29:23
driftlens,TSB-U-DRIFT_068_SEG_18380_112_WSD_id_84_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.5,,,4,,42,2026-08-24T10:29:41
ae_adwin_lstm,TSB-U-DRIFT_068_SEG_18380_112_WSD_id_84_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4007,0.5022,0.8333,58,1.0,42,2026-08-24T10:29:41
tdivdm,TSB-U-DRIFT_068_SEG_18380_112_WSD_id_84_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7071,0.7531,0.7083,58,,42,2026-08-24T10:29:42
driftlens,TSB-U-DRIFT_069_SEG_17186_041_WSD_id_13_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.6667,,,4,,42,2026-08-24T10:30:16
ae_adwin_lstm,TSB-U-DRIFT_069_SEG_17186_041_WSD_id_13_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6579,0.4303,0.7347,70,,42,2026-08-24T10:30:16
tdivdm,TSB-U-DRIFT_069_SEG_17186_041_WSD_id_13_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5821,0.5655,0.8571,70,,42,2026-08-24T10:30:19
driftlens,TSB-U-DRIFT_070_SEG_18236_079_WSD_id_51_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.3333,,,4,,42,2026-08-24T10:31:45
ae_adwin_lstm,TSB-U-DRIFT_070_SEG_18236_079_WSD_id_51_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5489,0.1718,0.87,119,7.0,42,2026-08-24T10:31:45
tdivdm,TSB-U-DRIFT_070_SEG_18236_079_WSD_id_51_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6826,0.2619,0.76,119,,42,2026-08-24T10:31:50
driftlens,TSB-U-DRIFT_073_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,4,,42,2026-08-24T10:32:39
ae_adwin_lstm,TSB-U-DRIFT_073_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5828,0.1923,0.7727,79,,42,2026-08-24T10:32:40
tdivdm,TSB-U-DRIFT_073_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6643,0.2985,0.7576,79,,42,2026-08-24T10:32:43
driftlens,TSB-U-DRIFT_074_SEG_230400_251_SVDB_id_15_Medical_tr_5,U,DRIFT,none,batch_level,batch_auroc,0.5882,,,19,,42,2026-08-24T10:33:47
ae_adwin_lstm,TSB-U-DRIFT_074_SEG_230400_251_SVDB_id_15_Medical_tr_5,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.3286,0.8869,0.9808,624,1.0,42,2026-08-24T10:33:48
tdivdm,TSB-U-DRIFT_074_SEG_230400_251_SVDB_id_15_Medical_tr_5,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6541,0.9539,0.8654,624,,42,2026-08-24T10:33:56
driftlens,TSB-U-DRIFT_075_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,none,batch_level,batch_auroc,0.0,,,2,,42,2026-08-24T10:34:43
ae_adwin_lstm,TSB-U-DRIFT_075_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5836,0.5809,0.9545,75,0.0,42,2026-08-24T10:34:43
tdivdm,TSB-U-DRIFT_075_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6935,0.6176,0.6591,75,,42,2026-08-24T10:34:46
driftlens,TSB-U-DRIFT_076_SEG_18242_113_WSD_id_85_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,1.0,,,8,,42,2026-08-24T10:34:52
ae_adwin_lstm,TSB-U-DRIFT_076_SEG_18242_113_WSD_id_85_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.7018,0.9724,1.0,41,,42,2026-08-24T10:34:53
tdivdm,TSB-U-DRIFT_076_SEG_18242_113_WSD_id_85_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.5877,0.9507,1.0,41,,42,2026-08-24T10:34:53
driftlens,TSB-U-DRIFT_078_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,none,batch_level,batch_auroc,0.5,,,4,,42,2026-08-24T10:35:07
ae_adwin_lstm,TSB-U-DRIFT_078_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6327,0.7406,0.7143,28,5.0,42,2026-08-24T10:35:08
tdivdm,TSB-U-DRIFT_078_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.4949,0.635,1.0,28,,42,2026-08-24T10:35:09
driftlens,TSB-U-DRIFT_083_SEG_17794_129_WSD_id_101_WebService_tr,U,DRIFT,none,batch_level,batch_auroc,0.6667,,,4,,42,2026-08-24T10:36:24
ae_adwin_lstm,TSB-U-DRIFT_083_SEG_17794_129_WSD_id_101_WebService_tr,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.3693,0.2429,0.9889,115,0.0,42,2026-08-24T10:36:25
tdivdm,TSB-U-DRIFT_083_SEG_17794_129_WSD_id_101_WebService_tr,U,DRIFT,none,ordered_per_window,per_sample_auroc,0.6507,0.4094,0.9667,115,,42,2026-08-24T10:36:31
